Geography Type,Geography,0000-0300 (Night),0300-0600 (Night),0600-0900 (Day),0900-1200 (Day),1200-1500 (Day),1500-1800 (Day),1800-2100 (Night),2100-2400 (Night),Total,Day Accidents,Night Accidents,Day Accident Share (%),Night Accident Share (%),Peak Time Period,Peak Time Accidents
State/UT,ANDHRA PRADESH,991,1143,2256,2704,3058,3403,4255,2139,19949,11421,8528,57.25099002456263,42.74900997543736,1800-2100 (Night),4255
State/UT,ARUNACHAL PRADESH,18,13,23,22,36,55,46,20,233,136,97,58.36909871244635,41.63090128755365,1500-1800 (Day),55
State/UT,ASSAM,346,389,889,1025,1051,1327,1294,1100,7421,4292,3129,57.835871176391315,42.16412882360868,1500-1800 (Day),1327
State/UT,BIHAR,701,937,1674,1606,1525,1818,1803,950,11014,6623,4391,60.13255856183039,39.86744143816961,1500-1800 (Day),1818
State/UT,CHHATTISGARH,464,406,1067,1990,2211,2534,3279,1518,13469,7802,5667,57.925606949290966,42.074393050709034,1800-2100 (Night),3279
State/UT,GOA,213,152,255,426,428,482,542,349,2847,1591,1256,55.88338602037231,44.11661397962768,1800-2100 (Night),542
State/UT,GUJARAT,910,700,1597,2373,2527,2719,3505,2018,16349,9216,7133,56.37042020918711,43.6295797908129,1800-2100 (Night),3505
State/UT,HARYANA,943,953,1243,1529,1447,1534,2007,1427,11083,5753,5330,51.90832807001714,48.09167192998285,1800-2100 (Night),2007
State/UT,HIMACHAL PRADESH,133,82,182,273,321,430,511,323,2255,1206,1049,53.48115299334811,46.51884700665189,1800-2100 (Night),511
State/UT,JHARKHAND,304,314,617,700,824,982,1111,464,5316,3123,2193,58.747178329571106,41.252821670428894,1800-2100 (Night),1111
State/UT,KARNATAKA,2312,2370,4005,5908,6706,7545,9265,5328,43439,24164,19275,55.62743157070835,44.37256842929165,1800-2100 (Night),9265
State/UT,KERALA,1103,1495,5411,8282,7063,8937,9542,4148,45981,29693,16288,64.57667297361954,35.42332702638046,1800-2100 (Night),9542
State/UT,MADHYA PRADESH,3330,2714,4468,7476,9217,10227,10613,6718,54763,31388,23375,57.316071069882945,42.68392893011705,1800-2100 (Night),10613
State/UT,MAHARASHTRA,2065,2000,3005,4288,4612,4892,6368,4117,31347,16797,14550,53.58407503110345,46.41592496889654,1800-2100 (Night),6368
State/UT,MANIPUR,12,5,27,50,58,90,113,43,398,225,173,56.53266331658291,43.46733668341709,1800-2100 (Night),113
State/UT,MEGHALAYA,11,10,20,39,32,48,46,26,232,139,93,59.91379310344828,40.08620689655172,1500-1800 (Day),48
State/UT,MIZORAM,4,3,4,6,4,12,9,5,47,26,21,55.319148936170215,44.680851063829785,1500-1800 (Day),12
State/UT,NAGALAND,2,5,3,5,5,6,4,5,35,19,16,54.285714285714285,45.714285714285715,1500-1800 (Day),6
State/UT,ODISHA,735,916,1391,1773,1782,2054,2162,1176,11989,7000,4989,58.38685461673201,41.613145383268,1800-2100 (Night),2162
State/UT,PUNJAB,337,382,651,857,780,921,1461,887,6276,3209,3067,51.131293817718294,48.868706182281706,1800-2100 (Night),1461
State/UT,RAJASTHAN,980,1195,2605,3503,3947,4764,5229,2638,24861,14819,10042,59.60741723985359,40.39258276014641,1800-2100 (Night),5229
State/UT,SIKKIM,9,9,15,28,31,34,28,20,174,108,66,62.06896551724138,37.93103448275862,1500-1800 (Day),34
State/UT,TAMIL NADU,1700,2792,7535,9629,9770,11723,17159,6905,67213,38657,28556,57.51417136565843,42.48582863434157,1800-2100 (Night),17159
State/UT,TELANGANA,1668,1296,2129,2930,3437,4198,4577,2668,22903,12694,10209,55.42505348644282,44.57494651355717,1800-2100 (Night),4577
State/UT,TRIPURA,22,12,40,98,101,123,114,67,577,362,215,62.738301559792035,37.26169844020797,1500-1800 (Day),123
State/UT,UTTAR PRADESH,3592,3767,4309,4222,4521,5374,6864,5115,37764,18426,19338,48.792500794407374,51.20749920559263,1800-2100 (Night),6864
State/UT,UTTARAKHAND,142,108,235,223,196,249,320,218,1691,903,788,53.40035481963336,46.59964518036664,1800-2100 (Night),320
State/UT,WEST BENGAL,1016,989,1245,1414,1502,1432,1506,1296,10400,5593,4807,53.778846153846146,46.22115384615385,1800-2100 (Night),1506
State/UT,A & N ISLANDS,0,1,1,4,8,1,6,4,25,14,11,56.00000000000001,44.0,1200-1500 (Day),8
State/UT,CHANDIGARH,18,8,17,25,25,27,34,28,182,94,88,51.64835164835166,48.35164835164835,1800-2100 (Night),34
State/UT,DELHI (UT),618,555,652,737,621,840,839,853,5715,2850,2865,49.86876640419948,50.13123359580053,2100-2400 (Night),853
