Sl. No.,State/UT,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died,Accident Share (%),Injury Rate (%),Fatality Rate (%)
1,Andhra Pradesh,8276,8507,3806,4499,4595,1887,0,0,0,7174,7307,2444,19949,20409,8137,3.7361945840255157,102.30587999398466,40.789011980550406
2,Arunachal Pradesh,146,150,75,23,16,17,0,0,0,64,52,44,233,218,136,0.04363794366023085,93.56223175965665,58.36909871244635
3,Assam,3427,2770,1564,1750,1454,707,0,0,0,2244,1693,1025,7421,5917,3296,1.3898591412127603,79.73318959708934,44.41449939361272
4,Bihar,4925,2925,4056,2264,1409,1805,0,0,0,3825,2205,3012,11014,6539,8873,2.0627824526771787,59.3698928636281,80.56110404939169
5,Chhattisgarh,4024,3494,1921,2083,1855,1066,0,0,0,7362,6375,3179,13469,11724,6166,2.5225728032602976,87.04432400326677,45.77919667384364
6,Goa,1152,362,102,399,191,49,0,0,0,1296,627,141,2847,1180,292,0.533206976826941,41.4471373375483,10.256410256410255
7,Gujarat,3477,2953,2139,4005,4168,2267,102,94,55,8765,8168,3393,16349,15383,7854,3.0619602613781725,94.09138173588599,48.039635451709586
8,Haryana,3557,2724,1903,1829,1498,923,189,160,138,5508,4284,2437,11083,8666,5401,2.075705277194586,78.19182531805467,48.73229270053235
9,Himachal Pradesh,1069,1544,358,409,546,136,0,0,0,777,1211,391,2255,3301,885,0.4223328882138222,146.38580931263857,39.24611973392461
10,Jharkhand,1994,1212,1672,1085,690,858,0,0,0,2237,1684,1643,5316,3586,4173,0.9956193497759107,67.45673438675695,78.49887133182844
11,Karnataka,13756,16856,4230,10979,14434,3449,521,540,188,18183,20717,4455,43439,52547,12322,8.135573539299433,120.96733350215246,28.36621469186675
12,Kerala,9713,11906,1012,11542,13777,1064,27,25,0,24699,28618,2004,45981,54326,4080,8.611657886013196,118.14880059154869,8.873230247276048
13,Madhya Pradesh,13945,13843,4184,11531,12472,3164,0,0,0,29287,28384,6750,54763,54699,14098,10.25641505864902,99.88313277212717,25.74365903986268
14,Maharashtra,9027,7961,5104,6653,5753,3616,193,127,153,15474,14371,6561,31347,28212,15434,5.870895364451744,89.9990429706192,49.23597154432641
15,Manipur,272,464,52,55,68,9,0,0,0,71,104,12,398,636,73,0.07454035011490076,159.79899497487438,18.341708542713565
16,Meghalaya,125,119,80,35,38,33,0,0,0,72,102,55,232,259,168,0.04345065634838437,111.63793103448276,72.41379310344827
17,Mizoram,31,36,28,9,17,9,0,0,0,7,0,12,47,53,49,0.008802503656784763,112.7659574468085,104.25531914893618
18,Nagaland,22,18,27,10,27,7,0,0,0,3,1,3,35,46,37,0.006555055914626952,131.42857142857142,105.71428571428572
19,Odisha,4446,3749,2093,2291,2114,1118,206,152,116,5046,4352,2410,11989,10367,5737,2.2453875817275004,86.4709316873801,47.85219784802736
20,Punjab,2264,1311,1896,1545,898,1208,0,0,0,2467,1096,1802,6276,3305,4906,1.1754151691485357,52.66093052899936,78.17080943275973
21,Rajasthan,7148,7033,4110,4380,4181,2304,70,57,46,13263,11997,5472,24861,23268,11932,4.656149859815447,93.59237359720044,47.994851373637424
22,Sikkim,63,147,19,65,166,30,0,0,0,46,63,19,174,376,68,0.03258799226128827,216.09195402298852,39.08045977011494
23,Tamil Nadu,20582,23575,6258,23166,24420,6325,0,0,0,23465,24297,5764,67213,72292,18347,12.588142091137753,107.55657387707735,27.29680270185827
24,Telangana,8088,7108,3053,1860,1705,717,15,8,5,12940,12201,3885,22903,21022,7660,4.2894413032200305,91.78710212635899,33.44540016591713
25,Tripura,255,254,129,209,223,85,0,0,0,113,132,47,577,609,261,0.10806477893542148,105.54592720970537,45.233968804159446
26,Uttar Pradesh,10990,7115,7041,9685,5764,6018,2133,1553,1609,14956,9411,9279,37764,23843,23947,7.072718044570634,63.13684990996716,63.41224446562864
27,Uttarakhand,817,698,513,303,309,233,0,0,0,571,481,308,1691,1488,1054,0.31670284433240503,87.9952690715553,62.32998225901834
28,West Bengal,3457,2822,1932,2384,1963,1239,161,42,53,4398,3288,2479,10400,8115,5703,1.947788043203437,78.02884615384616,54.83653846153847
29,Andaman and Nicobar Islands,7,2,7,6,1,6,0,0,0,12,8,14,25,11,27,0.0046821827961621085,44.0,108.0
30,Chandigarh,11,5,4,0,0,0,0,0,0,171,166,63,182,171,67,0.03408629075606015,93.95604395604396,36.81318681318682
31,Dadra and Nagar Haveli and Daman and Diu,4,5,3,83,63,40,0,0,0,96,148,38,183,216,81,0.03427357806790664,118.0327868852459,44.26229508196721
32,Delhi,712,633,231,364,272,105,13,4,9,4626,3971,1112,5715,4880,1457,1.0703469872026579,85.38932633420822,25.494313210848645
33,Jammu and Kashmir,2330,3181,416,729,1062,81,0,0,0,3241,4173,400,6300,8416,897,1.1799100646328513,133.5873015873016,14.238095238095239
34,Ladakh,141,209,38,111,27,13,0,0,0,37,74,8,289,310,59,0.05412603312363397,107.26643598615917,20.415224913494807
35,Lakshadweep,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0.00018728731184648433,100.0,0.0
36,Puducherry,497,502,71,135,140,23,0,0,0,676,936,55,1308,1578,149,0.2449718038952015,120.64220183486239,11.391437308868502
37,Agra,158,33,137,84,40,77,43,3,39,268,81,238,553,157,491,0.10356988345110583,28.390596745027125,88.78842676311031
38,Ahmedabad,174,142,102,0,0,0,4,0,4,1589,1205,429,1767,1347,535,0.33093668003273785,76.23089983022071,30.277306168647428
39,Amritsar,15,14,16,0,0,0,0,0,0,132,59,94,147,73,110,0.0275312348414332,49.65986394557823,74.82993197278913
40,Asansol,150,99,158,63,30,35,0,0,0,188,44,146,401,173,339,0.07510221205044022,43.14214463840399,84.53865336658353
41,Aurangabad,55,20,37,74,44,40,0,0,0,431,338,144,560,402,221,0.10488089463403123,71.78571428571429,39.464285714285715
42,Bengaluru,655,556,163,307,222,67,0,0,0,4018,3384,685,4980,4162,915,0.9326908129954921,83.57429718875503,18.373493975903614
